config_id,design_label,seed,node_count,mac,retry_limit,radio_range_m,aggregation_threshold,security_enabled,edge_ai_enabled,edge_ai_threshold,pdr,latency_mean,energy_per_delivered_packet,total_tx_bytes,communication_saving_ratio,lifetime_proxy,security_coverage,security_overhead_bytes_per_packet,edge_ai_saving_ratio,edge_event_recall,edge_ai_cpu_energy_j,hop_count,link_prr,generated_packets,is_pareto,dominates_count,dominated_by_count,recommendation_rank
alt_A_low_energy,Alternative A - low-energy baseline,42069,35,csma,0,40.0,0.45,False,True,3.0,0.8459764933881256,0.023161114160000003,0.00010049916999192024,11091,0.8166170634920635,2494958.5185858565,0.0,0.0,0.86,0.8250000000000001,7.56e-05,3,0.9995594479432075,165,True,65,0,10
alt_B_reliability,Alternative B - reliability-oriented,42069,35,csma,4,55.0,0.0,True,False,2.5,0.9299999999999973,0.019118775157771342,0.0003183707757296477,57175,-0.41803075396825395,281450.8792827023,1.0,12.0,0.0,1.0,0.0,2,0.9989182293741451,420,False,9,14,53
alt_C_balanced,Alternative C - balanced secured edge,42069,35,csma,2,55.0,0.45,True,True,2.5,0.945035622607325,0.016576521628270648,0.00015450163162477159,11042,0.7261408730158729,1452790.029560803,1.0,12.0,0.8200000000000001,0.8625,7.56e-05,2,0.9989182293741451,165,True,130,0,2
sweep_001,Automatic sweep 001,42069,35,aloha,0,30.0,0.0,False,False,2.5,0.6365017075562978,0.044144,0.0002443355581826848,80640,0.0,535836.7626886145,0.0,0.0,0.0,1.0,0.0,4,0.9998043804234007,420,False,0,122,217
sweep_002,Automatic sweep 002,42069,35,aloha,0,30.0,0.0,False,True,2.5,0.6365017075562978,0.04269857523200001,0.00012039815618754149,39643,0.5083953373015873,1087425.0790218757,0.0,0.0,0.8200000000000001,0.8625,7.56e-05,4,0.9998043804234007,420,False,1,16,200
sweep_003,Automatic sweep 003,42069,35,aloha,0,30.0,0.0,True,False,2.5,0.6365017075562978,0.04616,0.00030730475296124706,100800,-0.25,426039.53646898427,1.0,12.0,0.0,1.0,0.0,4,0.9998043804234007,420,False,0,74,210
sweep_004,Automatic sweep 004,42069,35,aloha,0,30.0,0.0,True,True,2.5,0.6365017075562978,0.04463258048,0.00015135381234068272,49553,0.38550347222222225,865019.3376802978,1.0,12.0,0.8200000000000001,0.8625,7.56e-05,4,0.9998043804234007,420,False,1,19,155
sweep_005,Automatic sweep 005,42069,35,aloha,0,30.0,0.35,False,False,2.5,0.664623510271967,0.03734,0.00023399713912672224,42624,0.4714285714285714,1013745.2267081897,0.0,0.0,0.0,1.0,0.0,4,0.9998043804234007,222,False,3,106,206
sweep_006,Automatic sweep 006,42069,35,aloha,0,30.0,0.35,False,True,2.5,0.664623510271967,0.03617130752,0.0001155453747176593,20954,0.7401537698412699,2052989.861625612,0.0,0.0,0.8200000000000001,0.8625,7.56e-05,4,0.9998043804234007,222,False,7,11,172
sweep_007,Automatic sweep 007,42069,35,aloha,0,30.0,0.35,True,False,2.5,0.664623510271967,0.039356,0.00029430195738931893,53280,0.3392857142857143,806020.7446710514,1.0,12.0,0.0,1.0,0.0,4,0.9998043804234007,222,False,3,60,174
