protocol,seed,node_count,topology,communication_range_m,average_degree,sink_reachability_ratio,payload_bytes,ttl,generated_packets,delivered_packets,dropped_packets,duplicate_packets,control_overhead_packets,pdr,average_latency_s,average_hop_count,total_energy_j,energy_per_delivered_bit_j,energy_per_generated_bit_j
Flooding,42069,25,random_uniform,15,1.92,0.08,64,10,24,1,271,240,335,0.041666666666666664,0.01,1.0,0.010803200000000047,2.1100000000000093e-05,8.791666666666705e-07
Sink-tree BFS,42069,25,random_uniform,15,1.92,0.08,64,10,24,1,23,0,1,0.041666666666666664,0.01,1.0,5.12e-05,1e-07,4.166666666666667e-09
Flooding,42069,25,random_uniform,20,3.6,0.72,64,10,24,17,873,833,1128,0.7083333333333334,0.025294117647058828,2.5294117647058822,0.03558400000000065,4.088235294117722e-06,2.8958333333333862e-06
Sink-tree BFS,42069,25,random_uniform,20,3.6,0.72,64,10,24,17,7,0,43,0.7083333333333334,0.025294117647058828,2.5294117647058822,0.0022016,2.5294117647058823e-07,1.791666666666667e-07
Flooding,42069,25,random_uniform,25,5.28,0.84,64,10,24,20,1665,1626,2032,0.8333333333333334,0.0205,2.05,0.06151680000000128,6.007500000000125e-06,5.006250000000104e-06
Sink-tree BFS,42069,25,random_uniform,25,5.28,0.84,64,10,24,20,4,0,41,0.8333333333333334,0.0205,2.05,0.0020991999999999994,2.0499999999999994e-07,1.708333333333333e-07
Flooding,42069,25,random_uniform,30,6.4,1.0,64,10,24,24,2541,2472,3048,1.0,0.017500000000000005,1.75,0.09100800000000199,7.406250000000162e-06,7.406250000000162e-06
Sink-tree BFS,42069,25,random_uniform,30,6.4,1.0,64,10,24,24,0,0,42,1.0,0.017500000000000005,1.75,0.0021504,1.75e-07,1.75e-07
Flooding,42069,25,random_uniform,35,8.0,1.0,64,10,24,24,3407,3384,3960,1.0,0.015416666666666667,1.5416666666666667,0.11553280000000259,9.402083333333544e-06,9.402083333333544e-06
Sink-tree BFS,42069,25,random_uniform,35,8.0,1.0,64,10,24,24,0,0,37,1.0,0.015416666666666667,1.5416666666666667,0.0018943999999999983,1.5416666666666653e-07,1.5416666666666653e-07
Flooding,42069,25,random_uniform,40,9.68,1.0,64,10,24,24,4320,4320,4896,1.0,0.01375,1.375,0.140083199999995,1.1399999999999593e-05,1.1399999999999593e-05
Sink-tree BFS,42069,25,random_uniform,40,9.68,1.0,64,10,24,24,0,0,33,1.0,0.01375,1.375,0.0016895999999999986,1.3749999999999987e-07,1.3749999999999987e-07
Flooding,42069,25,random_uniform,45,11.12,1.0,64,10,24,24,5136,5136,5712,1.0,0.012916666666666668,1.2916666666666667,0.16097279999998418,1.3099999999998712e-05,1.3099999999998712e-05
Sink-tree BFS,42069,25,random_uniform,45,11.12,1.0,64,10,24,24,0,0,31,1.0,0.012916666666666668,1.2916666666666667,0.0015871999999999987,1.2916666666666656e-07,1.2916666666666656e-07
Flooding,42069,25,random_uniform,50,13.6,1.0,64,10,24,24,6552,6552,7128,1.0,0.011666666666666667,1.1666666666666667,0.1972223999999654,1.6049999999997185e-05,1.6049999999997185e-05
Sink-tree BFS,42069,25,random_uniform,50,13.6,1.0,64,10,24,24,0,0,28,1.0,0.011666666666666667,1.1666666666666667,0.0014335999999999989,1.1666666666666657e-07,1.1666666666666657e-07
Flooding,42069,25,random_uniform,60,17.04,1.0,64,10,24,24,8544,8544,9120,1.0,0.01041666666666667,1.0416666666666667,0.248217599999939,2.0199999999995036e-05,2.0199999999995036e-05
Sink-tree BFS,42069,25,random_uniform,60,17.04,1.0,64,10,24,24,0,0,25,1.0,0.01041666666666667,1.0416666666666667,0.001279999999999999,1.0416666666666659e-07,1.0416666666666659e-07
